S.No,Roll No,Category,PWBD,Gender,Percentage,Rank
38,4700190,SC,Male,60.833,1333,
61,4700394,OBC,Male,62.708,782,
79,4700477,OBC,Male,67.083,175,
109,4700713,SC,Male,63.750,578,
305,4702072,SC,Male,60.833,1297,
310,4702120,SC,Male,62.292,886,
312,4702123,OBC,Male,66.667,217,
340,4702365,OBC,Male,61.667,1062,
375,4702620,OBC,Male,63.125,689,
389,4702712,OBC,Male,61.875,998,
449,4703056,OBC,Male,71.250,23,
461,4703136,OBC,Male,62.708,803,
541,4703689,OBC,Male,60.625,1372,
550,4703742,SC,Male,64.583,427,
584,4703961,OBC,Male,65.833,301,
617,4704222,OBC,Male,64.583,449,
623,4704266,SC,Male,64.167,518,
669,4704553,OBC,Male,62.917,758,
698,4704737,OBC,Male,61.250,1181,
775,4705231,SC,Male,64.792,418,
794,4705394,OBC,Male,63.750,570,
795,4705401,OBC,Male,61.250,1201,
826,4705607,OBC,Male,68.542,102,
840,4705720,SC,Male,64.375,464,
904,4706139,OBC,Male,63.750,582,
929,4706306,EWS,Male,61.042,1257,
932,4706324,OBC,Male,61.458,1124,
1008,4706748,ST,Male,62.292,878,
1149,4707642,OBC,Male,60.417,1469,
1248,4708337,OBC,Male,65.417,346,
1268,4708504,OBC,Male,67.500,150,
1328,4708982,OBC,Male,67.708,139,
1391,4709308,SC,Male,64.375,462,
1419,4709510,OBC,Male,66.250,275,
1476,4709851,OBC,Male,61.042,1232,
1520,4710094,OBC,Male,60.833,1337,
1570,4710426,OBC,Male,62.083,941,
1607,4710691,OBC,Male,62.083,906,
1609,4710717,SC,Male,63.750,581,
1646,4711022,OBC,Male,60.625,1376,
1711,4711478,OBC,Male,60.625,1389,
1720,4711558,OBC,Male,61.458,1087,
1735,4711654,OBC,Male,60.833,1304,
1759,4711831,OBC,Male,61.042,1237,
1772,4711914,OBC,Male,64.167,500,
1801,4712172,SC,Male,60.625,1373,
1821,4712280,OBC,Male,64.583,439,
1825,4712299,SC,Male,61.042,1286,
1855,4712441,OBC,Male,60.625,1402,
1878,4712601,OBC,Male,62.708,795,
1911,4712806,OBC,Male,60.833,1355,
1918,4712855,OBC,Male,60.833,1330,
